
2025/01/02 (21:30:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (21:41:59) | ===> btop++ v.1.4.0
2025/01/02 (21:41:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (22:43:34) | ===> btop++ v.1.4.0
2025/01/02 (22:43:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (22:44:26) | ===> btop++ v.1.4.0
2025/01/02 (22:44:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (22:48:45) | ===> btop++ v.1.4.0
2025/01/02 (22:48:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (22:51:26) | ===> btop++ v.1.4.0
2025/01/02 (22:51:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (22:53:27) | ===> btop++ v.1.4.0
2025/01/02 (22:53:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (22:57:42) | ===> btop++ v.1.4.0
